title,address,fee,yearly fee,management_fee,deposit,gratuity,madori,menseki,property price,yield
三鷹桜苑マンション,東京都三鷹市下連雀３,180000,2160000,-,18万円,-,3LDK,52.66m2,29800000,7.25%
日神パレステージ三鷹,東京都三鷹市下連雀２,64000,768000,6000円,6.4万円,-,1K,18m2,10800000,7.11%
井の頭公園コーポラス,東京都三鷹市井の頭４,110000,1320000,-,11万円,11万円,2DK,35.64m2,18900000,6.98%
ライオンズマンション三鷹台,東京都三鷹市牟礼３,51000,612000,5000円,-,-,ワンルーム,19.63m2,9000000,6.80%
ライオンズマンション三鷹台,東京都三鷹市牟礼３,50000,600000,5000円,-,5万円,1K,19.5m2,9000000,6.67%
コスモフォーラム三鷹,東京都三鷹市下連雀３,70000,840000,3000円,7万円,7万円,1K,20.92m2,13600000,6.18%
コスモフォーラム三鷹,東京都三鷹市下連雀３,65000,780000,-,6.5万円,3.25万円,ワンルーム,21.06m2,13600000,5.74%
武蔵境ハイム,東京都三鷹市井口３,140000,1680000,5000円,14万円,14万円,3LDK,69.9m2,29800000,5.64%
コスモフォーラム三鷹,東京都三鷹市下連雀３,63000,756000,5000円,6.3万円,6.3万円,ワンルーム,21.06m2,13600000,5.56%
コスモフォーラム三鷹,東京都三鷹市下連雀３,60000,720000,8000円,6万円,6万円,1K,21.06m2,13600000,5.29%
リビオ三鷹ステーションレジデンス,東京都三鷹市下連雀３,240000,2880000,-,24万円,24万円,2LDK,53.07m2,64800000,4.44%
オーベル吉祥寺ＥＡＳＴ,東京都三鷹市下連雀８,198500,2382000,11000円,59.55万円,-,1LDK,72m2,56800000,4.19%
オーベル吉祥寺ＥＡＳＴ,東京都三鷹市下連雀８,198500,2382000,11070円,59.55万円,-,1LDK,72m2,56800000,4.19%
レクセルマンション三鷹の森,東京都三鷹市新川６,150000,1800000,20000円,15万円,15万円,3LDK,65.72m2,43500000,4.14%
日神パレステージ井の頭公園東館,東京都三鷹市牟礼４,250000,3000000,-,25万円,25万円,3LDK,104.87m2,74800000,4.01%
ファミール三鷹グランデージ,東京都三鷹市下連雀７,195000,2340000,5000円,19.5万円,19.5万円,3LDK,72.64m2,59900000,3.91%
日神パレステージ井の頭公園東館,東京都三鷹市牟礼４,235000,2820000,15000円,47万円,47万円,3LDK,96.34m2,74800000,3.77%
エクセル三鷹,東京都三鷹市下連雀３,128000,1536000,-,12.8万円,14.08万円,1LDK,32.45m2,41990000,3.66%
ダイアパレス三鷹,東京都三鷹市下連雀３,100000,1200000,5000円,10万円,10万円,2DK,45.18m2,33990000,3.53%
アデニウム吉祥寺,東京都三鷹市下連雀８,194000,2328000,15000円,19.4万円,19.4万円,2LDK,78.97m2,69800000,3.34%
アデニウム吉祥寺,東京都三鷹市下連雀８,184000,2208000,15000円,18.4万円,18.4万円,2LDK,78.97m2,69800000,3.16%
ラシュレ三鷹,東京都三鷹市上連雀８,115000,1380000,5000円,6万円,11.5万円,1LDK,51.75m2,83800000,1.65%
